HPC_index,Framework,metal_smiles,organ_smiles,topo,LCD,PLD,VF,GSA,VSA,C2H4_10kPa,C2H6_10kPa,C2H4_100kPa,C2H6_100kPa,WC_C2H4,WC_C2H6,S1
7547,hMOF-6002515,[V],"['NC(=CC=CC(=O)[O-])C(=O)[O-]', 'NC1C(N)C2(C#CC(=O)[O-])C(N)C(N)C1(C#CC(=O)[O-])C(N)C2(N)N']",rna,5.97528,4.9136,0.511664,1579.615684,1479.911719,6.805657362,0.289171309,52.925299,5.010937176,46.11964164,4.721765867,1.42019146
7548,hMOF-6002516,[V],"['O=C([O-])C#CC12CC(c3ccccc3)C(C#CC(=O)[O-])(CC1C1=CCC=C[CH]1)C(c1[c]cccc1)(c1ccccc1)C2C1[CH]C=[C]C=C1', 'O=C([O-])C=CC=CC(=O)[O-]']",rna,4.05857,2.72156,0.125138,8.608323,11.354505,0.020316077,5.20E-05,1.074050191,0.00072743,1.053734114,0.00067543,0.010159162
7549,hMOF-6002517,[V],"['O=C([O-])[C]=CC(O)=C(O)C(=O)[O-]', 'O=C([O-])C#CC12C(O)C(O)C(C#CC(=O)[O-])(C(O)C1O)C(O)C2O']",rna,6.54531,5.22317,0.549582,1928.697794,1874.518638,7.004014157,0.301168307,64.06536006,6.52691166,57.0613459,6.225743353,1.528184261
7550,hMOF-6002518,[V],"['N#CC(=CC=CC(=O)[O-])C(=O)[O-]', 'N#CC1C(C#N)C2(C#CC(=O)[O-])C3[C]N4[N][C]4C2C(C#N)C1(C#CC(=O)[O-])C3']",rna,5.61308,4.55755,0.494048,1406.466288,1379.494976,7.494096184,0.325198356,55.52024741,4.918991973,48.02615123,4.593793617,1.328972457
7551,hMOF-6002519,[V],"['N#CC1C(C#N)C2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])C(C#N)(C#N)C2(C#N)C#N', 'N#CC(=CC=CC(=O)[O-])C(=O)[O-]']",rna,5.64895,4.39999,0.489506,1345.035727,1368.613672,7.63151824,0.342362204,47.21432766,4.531331825,39.58280942,4.188969621,1.439604898
7552,hMOF-6002522,[V],"['N=NC(=CC=CC(=O)[O-])C(=O)[O-]', 'N=NC1C(N=N)C2(C#CC(=O)[O-])C3CC1(C#CC(=O)[O-])C1([N]NN[N]3)[N]NN[N]C21N=N']",rna,5.40972,4.15672,0.464136,1028.275176,1120.312353,11.57314086,0.77246952,55.03656612,5.5827278,43.46342526,4.81025828,1.521550542
7553,hMOF-6002523,[V],"['N=NC1C(N=N)C2(C#CC(=O)[O-])CCC1(C#CC(=O)[O-])CC2(N=N)N=N', 'O=C([O-])C=CC=CC(=O)[O-]']",rna,6.51821,5.34622,0.547877,1898.686924,1756.372923,7.351259241,0.3041323,58.79592307,5.895943586,51.44466383,5.591811286,1.504171534
7554,hMOF-6002524,[V],"['O=C([O-])C#CC12C(F)C(F)C(C#CC(=O)[O-])(C(F)C1(F)F)C(F)(F)C2F', 'O=C([O-])C=CC(F)=C(F)C(=O)[O-]']",rna,6.32356,4.97503,0.558437,1994.594984,2018.896285,3.598685537,0.11163537,39.85763958,3.444643442,36.25895404,3.333008072,1.296355032
7555,hMOF-6002525,[V],"['O=C([O-])C(Cl)=CC(Cl)=C(Cl)C(=O)[O-]', 'O=C([O-])C#CC12CCC(C#CC(=O)[O-])(C(Cl)C1)C(Cl)(Cl)C2(Cl)Cl']",rna,5.77067,5.1689,0.598517,1664.312753,1915.484412,14.33482745,1.178249317,71.06574668,7.871074875,56.73091923,6.692825558,1.661364703
7556,hMOF-6002526,[V],"['O=C([O-])C#CC12CC(Cl)(Cl)C(C#CC(=O)[O-])(C(Cl)C1Cl)C(Cl)C2Cl', 'O=C([O-])C(Cl)=CC(Cl)=C(Cl)C(=O)[O-]']",rna,5.16569,3.49122,0.446005,776.858458,978.444981,9.297499332,0.5030841,49.73998075,4.80396546,40.44248142,4.30088136,1.448723558
7557,hMOF-6002527,[V],"['O=C([O-])[C]=CC(Br)=[C]C(=O)[O-]', 'O=C([O-])C#CC12[CH]CC(C#CC(=O)[O-])(C(Br)[C]1Br)C(Br)C2Br']",rna,5.68771,4.63265,0.608463,963.84267,1716.513172,18.73964955,1.953287932,66.80587644,7.827750351,48.06622689,5.874462419,1.757573757
